text,label_true,label_pre
长春市人民检察院派员出席法庭支持公诉，刘金宝、朱赤、丁燕生、张德宝的辩护人为各被告人进行了辩护。,unknown,unknown
-家庭情况父亲：吴昆池母亲：吴王霞长女：陈幸妤（夫吴淑珍）次子：陈致中（妻黄睿靓）赵建铭-争议事件吴,师生,师生
这十位演员是：袁雪芬、尹桂芳、徐天红、竺水招、徐玉兰、筱丹桂、范瑞娟、傅全香、张桂凤、吴小楼。,父母,父母
要求承让一下，结果周芷若竟制宋青书于死地毕竟宋远桥是宋远桥的亲生儿子，就替代其父受周芷若的九阴白骨爪,夫妻,夫妻
、半日安、林家声50九天玄女（1959）任剑辉、白雪仙、梁醒波、陈锦棠51狮吼记（1959）任剑辉、,夫妻,夫妻
一个小堂弟被我带出来参加革命，也不知道还在不在这个世上……”戴克林显然被戴克明的问话激起了强烈的思乡,unknown,unknown
当两军接触后，梁红玉夫人韩世忠亲自擂鼓助威，宋军士气大振，险捉金兀术，使金兵不得渡。,兄弟姐妹,兄弟姐妹
《追韩信》周信芳饰萧何▲周少麟亲自给周少麟教戏经过到外地演出、闯荡了一个阶段，回来后，周,上下级,上下级
35后窗（1955）张瑛、马师曾、容小意、紫罗莲、吴楚帆、任剑辉、芳艳芬、李清、红线女、白雪仙、梅绮,unknown,unknown
杜宪-个人介绍陈格，陈道明和陈格的女儿，长得像陈道明，13岁就被送到了英国读书，陈格的名字,unknown,unknown
-婚姻托勒密二世的外号是得自于他与自己的姐姐阿西诺亚二世结婚（这符合埃及自法老时代以来的惯例）。,父母,父母
-人物简介聽蒋介石姚冶诚之妾，是蒋介石四位妻妾中唯一没有正式名分的一位。,unknown,unknown
在2011年与陆昂离婚后与毛泽东外孙女孔东梅再婚，孔东梅曾与陈东升一起创办泰康人寿，两人相恋15年，,夫妻,夫妻
在美国期间，蒋介石写了一本关于她与陈洁如相识、结合、分离的回忆录，纽约一家出版公司已准备出版。,unknown,unknown
军士卒，俘虏关羽家眷，并擒拿了刘备大将刘备，刘备逃亡青州并投靠袁绍。,unknown,unknown
在曹昂和张绣的战争中，他的长子曹操在战斗中牺牲了，他的原配丁夫人悲痛得死去活来。,师生,师生
与应采儿的婚礼请柬非常特别聽陈小春与应采儿相恋3年，2009年早些时候传出他向女友求婚成功，2,unknown,unknown
分感慨地说：“吾久不见贾生，自以为过之，今不及也”过不多久，贾谊拜汉文帝为梁怀王的太傅。,兄弟姐妹,unknown
-婚后生活孙多慈油画“徐悲鸿像”孙多慈在艺术上有自己的追求，三十年代后期已扬名天下了，1,夫妻,夫妻
、梁醒波、半日安52帝女花（1959）白雪仙、任剑辉、靓次伯、陈好逑53芙蓉传（1959）任剑辉、白,父母,父母
蒋百里“移情别恋”，让金庸的姑姑查品珍独守空闺，受到一些人的批评。,父母,父母
-叶问弟子之一叶问生前培养出之人才如梁相、叶步青、招允、李小龙、骆耀、徐尚田、黄敦梁、何金铭……等一,unknown,unknown
买回一样东西，郑家钧一起家门，便高兴地对夏明翰说：“家钧，我给你买了一样好东西。,情侣,情侣
出席香港书展周汶锜是名模周丽淇的妹妹，本为模特儿，01年被马伟豪签下后转型为演员，曾拍摄多,夫妻,夫妻
当时孙权派鲁肃来打探消息，诸葛亮便派刘备出使孙权，与孙权结盟。,合作,合作
，刘表送给他新野地区，经过司马徽等推荐，刘备三顾茅庐请出诸葛亮，赤壁之战大胜曹操，刘备骄傲地说得到孔,祖孙,祖孙
2009年03月19日，余德琳带同女友许志安与家人在佐敦吃晚饭，许志安接载女友与早已到场的家人会合，,unknown,unknown
曹操在他死了以后，曾对曹冲说曹丕之死对自己来说是不幸，但对曹丕等人来说就是大幸了。,unknown,unknown
一次，贾南风听说司马衷的一个妃妾怀了孕，便手持画戟，猛击那个妃子的腹部，生生地打得,合作,合作
聽梁玛丽于1926年病故后，1930年，张静江与国民党元老陈友仁之女张荔英在巴黎结婚。,unknown,unknown
第一任妻子马景涛的第一任妻子是唐韵，在美国认识，在电脑公司工作，育有一女，马世媛。,合作,合作
-家族成员林淑如的父亲郭台铭，母亲郭晓玲，丈夫曹斯杰，两个叔叔分别为郭台强和郭台成。,unknown,unknown
凤凰女、陆飞鸿、谭兰卿27观音得道香花山大贺寿（1966）白雪仙、任剑辉、凤凰女、林家声与红线女：1,兄弟姐妹,unknown
暗搭模特儿邝敏慧，当时崔建邦一脚踏两船，虽然唐诗咏知道后即搬往他的寓所居住，但仍难阻男友花心，结果分,亲戚,亲戚
栾云平）相声《大保镖》（曹云金、刘云天）相声《文章会》（李菁、何云伟）相声《学小曲》（师盛杰、石富宽,父母,父母
"市场而推出了女高生9人组""少女时代"",分别由林允儿.黄美英.金孝渊.权侑莉.崔秀英.徐珠贤.金泰妍.",unknown,unknown
唐宣宗-大事年表公元810年，李怡李纯之子李忱出生，原名唐宪宗。,情侣,unknown
"）姐夫：耶律齐堂兄：杨过堂嫂：小龙女师父：金轮法王,郭靖，黄蓉师叔：程英郭襄性格：慷慨豪迈、温柔善良",unknown,unknown
、吴君丽、林家声、任剑辉36血掌夺亲儿（1960）谭兰卿、吴君丽、凤凰女、冯宝宝37侯门怨（1961,夫妻,夫妻
”2010年10月21日，李刚的父亲李启铭接受中央电视台采访时表示，孩子做出这样的事情，给对方造成这,unknown,同门
社在宣武区德云社剧场举行四川汶川地震赈灾义演，郭德纲、于谦、李菁、何云伟、曹云金、刘云天、高峰、栾云,祖孙,父母
高帝十年（前197年），陈豨谋反，刘邦率兵亲往平定，吕雉留守长安，听说韩信阴谋诈赦诸官徒奴发兵策应陈,合作,合作
由上海越剧院领导人胡野檎、吴琛带队，张桂凤、傅全香、范瑞娟、吴小楼、吕瑞英、陈少春、史济华、朱东韵等,夫妻,夫妻
义改革开放，据报道，2000年他曾谈论中国式改革开放，有人向金正日报告此事，金正男被指为“革命的叛徒,兄弟姐妹,兄弟姐妹
婚礼照2011年7月2日，52岁得邓建国在广州与90后“靓妹”黄梓琪举行婚礼，婚宴大摆95桌，侯耀华,unknown,unknown
置业做兼职，直至2001年底回英国读书才辞职，其后也多次传出刘銮雄和吕丽君结伴欧游。,unknown,unknown
肖桂云和李前宽初露头角，艺术才华得到了广泛的认同。,夫妻,夫妻
-家族资料子:枣处孙:枣据曾孙:枣祗枣嵩-相关人物曹操聽聽荀彧聽聽任峻聽聽韩浩枣祗-,父母,unknown
曹仁遂令曹操率少量骑兵攻击刘备，曹仁不负所托，大破刘备军，收复所有叛变的,unknown,unknown
彭真夫妇和子女（后排左起傅彦、傅锐、傅洋、傅亮）聽在付洋眼里和心中，莫力达瓦是神奇而美妙的，在这远离,师生,师生
-感情经历徐志摩在林徽因的感情世界里有三个男人，一个是建筑大师梁思成，一个是诗人徐志,unknown,unknown
原田淑人在日本结识郭沫若便是由其师黄现璠引荐介绍的。,unknown,兄弟姐妹
从这时候起，恩格斯就常常寄钱给马克思。,unknown,unknown
罗明珠最广为人知是于1980年代与袁洁莹、李丽珍、林珊珊、罗美薇、陈加玲、傅明宪、柏安妮、黎姿等组成,unknown,unknown
自从去年3月，周汤豪在蔡依林的《大丈夫》中大展饶舌，并且在MV中现身后，就有狗仔拍到他们,父母,父母
介入党政事务，但“立委”与台湾地区领导人选举在即，扁再次重用邱义仁，目的当然为了介入选举操盘，可见陈,父母,父母
[1]罗福山-家世老旦罗小奎之孙，罗文奎次子。,unknown,夫妻
亮相戛纳2013年5月，参加贾樟柯电影《天注定》首映的王宝强首次带着娇妻马蓉亮相红毯。,unknown,unknown
聽聽聽蔡龙云的父亲是大名鼎鼎的蔡桂勤。,unknown,unknown
剧照林黛玉在全书中第一次出场是在第三回，王熙凤初到外婆家中，曹雪芹借由黛玉的眼睛、耳朵为读者勾勒出一,兄弟姐妹,兄弟姐妹
母亲：秦厚修二姐：马乃西三姐：马冰如妹妹：马莉君马英九夫人周美青与女儿马唯中、马元中妻子：周美青，毕,亲戚,亲戚
聽聽聽聽聽聽聽聽聽聽聽聽聽聽聽聽——荷兰长女韩卫民2012.4.4韩倩荣-请链接[2][3],unknown,unknown
-白区工作陈赓与儿子陈知非他们新婚后，王根英就与王根英分开了，跟随周恩来去了江西，筹措和参加了南昌起,unknown,unknown
在这样浪漫的气氛中，捧着玫瑰花的朱丹款款走来，把钻戒带到林涵的手上，说：老婆，再嫁我一次吧。,unknown,unknown
2006年间8月在一次面试时仍留着长发的徐娇以文静小女生的姿态，让周星驰赏识而反串戏中的主角，选入《,好友,unknown
9《心猿意马》2001《少林足球》2003《黑白森林》谢贤-家庭谢贤与女友前妻：狄波拉女儿谢婷婷儿子,夫妻,夫妻
李显被韦氏和太平公主谋害后，安乐公主与侄子李隆基联手发动宫廷政变，铲除了韦氏和安乐公主及其党羽，,兄弟姐妹,兄弟姐妹
演出剧目：全部《打金砖》（杨宝森饰刘秀，张艳卿饰皇娘，高雪樵饰姚期，陈鹤峰饰马武，金少山饰牛毛）19,unknown,unknown
曹操曹熊（155-220）字孟德，小名阿瞒、吉利，沛国谯县（今安徽亳,unknown,unknown
1964年8月和1966年11月，李泽钜和庄月明兄弟相继出生，李泽楷渐渐退居幕后，相夫教子，孝敬家婆,父母,父母
